Rating,Title,Url
8.2,The Secret in Their Eyes,/title/tt1305806/
8.2,"Lock, Stock and Two Smoking Barrels",/title/tt0120735/
8.1,The Wolf of Wall Street,/title/tt0993846/
8.1,The Treasure of the Sierra Madre,/title/tt0040897/
8.1,Judgment at Nuremberg,/title/tt0055031/
8.1,"Three Billboards Outside Ebbing, Missouri",/title/tt5027774/
8.1,There Will Be Blood,/title/tt0469494/
8.1,Chinatown,/title/tt0071315/
8.1,Babam ve Oglum,/title/tt0476735/
8.1,The Gold Rush,/title/tt0015864/
8.1,Dial M for Murder,/title/tt0046912/
8.1,V for Vendetta,/title/tt0434409/
8.1,Inside Out,/title/tt2096673/
8.1,The Seventh Seal,/title/tt0050976/
8.1,Warrior,/title/tt1291584/
8.1,No Country for Old Men,/title/tt0477348/
8.1,Trainspotting,/title/tt0117951/
8.1,The Elephant Man,/title/tt0080678/
8.1,Shutter Island,/title/tt1130884/
8.1,Room,/title/tt3170832/
8.1,The Sixth Sense,/title/tt0167404/
8.1,The Thing,/title/tt0084787/
8.1,Gone with the Wind,/title/tt0031381/
8.1,Blade Runner,/title/tt0083658/
8.1,Jurassic Park,/title/tt0107290/
8.1,The Bridge on the River Kwai,/title/tt0050212/
8.1,The Third Man,/title/tt0041959/
8.1,On the Waterfront,/title/tt0047296/
8.1,Finding Nemo,/title/tt0266543/
8.1,Wild Strawberries,/title/tt0050986/
8.1,Fargo,/title/tt0116282/
8.1,Kill Bill: Vol. 1,/title/tt0266697/
8.1,Gran Torino,/title/tt1205489/
8.1,The Deer Hunter,/title/tt0077416/
8.1,Ford v Ferrari,/title/tt1950186/
8.1,Stalker,/title/tt0079944/
8.1,The Truman Show,/title/tt0120382/
8.1,Tokyo Story,/title/tt0046438/
8.1,The Bandit,/title/tt0116231/
8.1,Relatos salvajes,/title/tt3011894/
8.1,Andhadhun,/title/tt8108198/
8.1,The Big Lebowski,/title/tt0118715/
8.1,Memories of Murder,/title/tt0353969/
8.1,Mary and Max,/title/tt0978762/
8.1,In the Name of the Father,/title/tt0107207/
8.1,Gone Girl,/title/tt2267998/
8.1,Klaus,/title/tt4729430/
8.1,Hacksaw Ridge,/title/tt2119532/
8.1,The Grand Budapest Hotel,/title/tt2278388/
8.1,Mr. Smith Goes to Washington,/title/tt0031679/
8.1,How to Train Your Dragon,/title/tt0892769/
8.1,The General,/title/tt0017925/
8.1,Sherlock Jr.,/title/tt0015324/
8.1,Before Sunrise,/title/tt0112471/
8.1,Persona,/title/tt0060827/
8.1,Catch Me If You Can,/title/tt0264464/
8.1,Prisoners,/title/tt1392214/
8.1,12 Years a Slave,/title/tt2024544/
8.1,Cool Hand Luke,/title/tt0061512/
8.1,Into the Wild,/title/tt0758758/
8.1,Network,/title/tt0074958/
8.1,The Wages of Fear,/title/tt0046268/
8.1,Stand by Me,/title/tt0092005/
8.1,Mad Max: Fury Road,/title/tt1392190/
8.1,Monty Python's Life of Brian,/title/tt0079470/
8.1,Barry Lyndon,/title/tt0072684/
8.1,Platoon,/title/tt0091763/
8.1,Million Dollar Baby,/title/tt0405159/
8.1,Hachi: A Dog's Tale,/title/tt1028532/
8.1,The Passion of Joan of Arc,/title/tt0019254/
8.1,Rush,/title/tt1979320/
8.1,Logan,/title/tt3315342/
8.1,Ben-Hur,/title/tt0052618/
8.0,Rang De Basanti,/title/tt0405508/
8.0,Nausicaä of the Valley of the Wind,/title/tt0087544/
8.0,Andrei Rublev,/title/tt0060107/
8.0,Harry Potter and the Deathly Hallows: Part 2,/title/tt1201607/
8.0,Dead Poets Society,/title/tt0097165/
8.0,The 400 Blows,/title/tt0053198/
8.0,Amores Perros,/title/tt0245712/
8.0,Hotel Rwanda,/title/tt0395169/
8.0,Spotlight,/title/tt1895587/
8.0,Rebecca,/title/tt0032976/
8.0,Rocky,/title/tt0075148/
8.0,The Handmaiden,/title/tt4016934/
8.0,"Monsters, Inc.",/title/tt0198781/
8.0,La Haine,/title/tt0113247/
8.0,It Happened One Night,/title/tt0025316/
8.0,The Red Shoes,/title/tt0040725/
8.0,Ace in the Hole,/title/tt0043338/
8.0,White Heat,/title/tt0042041/
8.0,The Princess Bride,/title/tt0093779/
8.0,Before Sunset,/title/tt0381681/
8.0,Lagaan: Once Upon a Time in India,/title/tt0169102/
8.0,In the Mood for Love,/title/tt0118694/
8.0,The Help,/title/tt1454029/
8.0,Gangs of Wasseypur,/title/tt1954470/
8.0,The Terminator,/title/tt0088247/
8.0,Butch Cassidy and the Sundance Kid,/title/tt0064115/
8.0,"Paris, Texas",/title/tt0087884/
8.0,Akira,/title/tt0094625/
8.0,PK,/title/tt2338151/
8.0,Aladdin,/title/tt0103639/
8.0,The Invisible Guest,/title/tt4857264/
8.0,Guardians of the Galaxy,/title/tt2015381/
8.0,Neon Genesis Evangelion: The End of Evangelion,/title/tt0169858/
8.0,Le Samouraï,/title/tt0062229/
8.0,Groundhog Day,/title/tt0107048/
